jobId,position,employer,accomplishments
7,Post-doctoral Research Associate,University of Nebraska-Lincoln,Developed innovative approach to analyzing repeat-purchase data through the application of statistical models from population dynamics
7,Post-doctoral Research Associate,University of Nebraska-Lincoln,Mentor graduate students and train students in statistical analysis techniques
7,Post-doctoral Research Associate,University of Nebraska-Lincoln,Developed exploratory data analysis web application in R for SQL sportsperson customer database 
6,Graduate Research Assistant,University of Florida,"Integrated machine learning (e.g., Gaussian process), optimization, and uncertainty propagation to design engineering systems considering future decision making process"
6,Graduate Research Assistant,University of Florida,Collaboratively developed optimization-based method for NASA Uncertainty Quantification Challenge
5,Ph.D. Student Researcher,ONERA,Developed a novel method for optimal design of sounding rocket under uncertainty
5,Ph.D. Student Researcher,ONERA,Co-authored book chapter on space vehicle design under uncertainty
4,Undergraduate Research Assistant,University of Florida,Developed Python code for parameterized finite element modeling of rigid sternal fixation
4,Undergraduate Research Assistant,University of Florida,Analyzed effects of patient variability and plate designs on stability of sternal fixation
3,Launch Engineer Intern,SpaceX,Performed maintenance of launch vehicle ground systems
3,Launch Engineer Intern,SpaceX,Assisted in rollout and launch of Falcon 9 and Dragon spacecraft
2,Engineer Intern,"E&S Consulting, Inc.","Assisted with failure analysis investigations (inspections, materials testing, reports, research)"
1,Undergraduate Research Assistant,University of Florida,Developed Matlab code for compliance correction of compression / tensile strength test data
